DanOrder	alanOrder	lineID	page	page_on_photo	col_on_single_page	x1col	y1col	x2col	y2col	newLineNuAlan	GTLineNumberDaniel	top_on_page	bottom_on_page	left_on_page	right_on_page	AT	GT2	enriched_y_n	color_img_file_name	include	regionID	regionx1	regiony1	regionx2	regiony2	enriched_y_n	color_img_file_name
19	18	1419	14	1	1	1	1	1024	1441	18	19	747	817	211	884	אמ'ר' ברכיה הכהן בשם ר' מלך בשר ודם שיש לו מדנה והוא משליח בני אד	אמ'ר' ברכיה הכהן בשם ר' מלך בשר ודם שיש לו מדינה והוא משליח בני אדם	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
20	19	1420	14	1	1	1	1	1024	1441	19	20	785	856	215	888	לתוכה שיהו נושאים משאם ועושים משפטם מי צריך להיות זקוק למזונותיה	לתוכה שיהו נושאים משאם ועושים משפטם מי צריך להיות זקוק למזונותיה'	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
21	20	1421	14	1	1	1	1	1024	1441	20	21	823	893	219	883	לא בני מדינה צריכין להיות זקוקן להן ˙ אבל הק'ב'ה' לא עשה כן לא שלא למשה	לא בני מדינה צריכין להיות זקוקין להן ˙ אבל הק'ב'ה' לא עשה כן אלא שלח למשה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
22	21	1422	14	1	1	1	1	1024	1441	21	22	860	931	225	885	ולאהרן שנ' ואשלח לפניך משה ואהרן ומרים ואף על פי כן בזכותן היו ישרﭏ	ולאהרן שנ' ואשלח לפניך משה ואהרן ומרים ואף על פי כן בזכותן היו ישרﭏ	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
23	22	1423	14	1	1	1	1	1024	1441	22	23	897	967	219	881	מנה מתנהגין המן בזכות משה תדע רך שהוא בזכות משה שכיון שמת שבת	[מנה] מתנהגין המן בזכות משה תדע לך שהוא בזכות משה שכיון שמת שבת	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
24	23	1424	14	1	1	1	1	1024	1441	23	24	933	1004	218	878	המן מלירד˙כיון שנסתלק אהרן מה כתיב ותקצר נפש העם בדרך ˙ שהיתה	המן מלירד˙כיון שנסתלק אהרן מה כתיב ותקצר נפש העם בדרך ˙ שהיתה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
25	24	1425	14	1	1	1	1	1024	1441	24	25	974	1033	210	877	החמה קופחת עליהם ˙ והבאר בזכות מרים מה כתיב ותמת שם מרים ואא'	החמה קופחת עליהם ˙ והבאר בזכות מרים מה כתיב ותמת שם מרים ואח'	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
26	25	1426	14	1	1	1	1	1024	1441	25	26	1011	1070	220	876	כך לא היה מים לעדה והיאך היתה הבאר עשויה כמין כברה היתה ומתגלגלת	כך לא היה מים לעדה ˙ והיאך היתה הבאר עשויה כמין כברה היתה ומתגלגלת	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
27	26	1427	14	1	1	1	1	1024	1441	26	27	1041	1111	228	872	ובאה עמהם במסעות וכיון שהיו הדגלים חונים והמשכן עומד והיה הסלע	ובאה עמהם במסעות וכיון שהיו הדגלים חונים והמשכן עומד והיה הסלע	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
29	27	1501	15	1	1	1	1	1024	1436	1	1	137	196	120	802	בא ויושב לו בחצר אהל מועד והנשיאים באים ועומדים על גבי ואומרים עלי	בא ויושב לו בחצר אהל מועד והנשיאים באים ועומדים על גביו ואומרים עלי	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
30	28	1502	15	1	1	1	1	1024	1436	2	2	174	233	125	793	באר והיתה עולה ואחר כך הבאתי לכם שלוים במדבר שמא כמדבר נהגתי	באר והיתה עולה ואחר כך הבאתי לכם שלוים במדבר שמא כמדבר נהגתי	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
31	29	1503	15	1	1	1	1	1024	1436	3	3	211	270	125	796	אתכם אלא אם מאפל יה לא אני בידי הייתי מאיר להם שנא' וײ הולך	אתכם אלא אם מאפל יה לא אני בידי הייתי מאיר להם שנא' וײ הולך	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
32	30	1504	15	1	1	1	1	1024	1436	4	4	250	307	123	806	לפניהם יומם וגו' ˙˙ דבר אחר אם ארץ מאפל יה ˙ מהו מאפל יה	לפניהם יומם וגו' ˙ דבר אחר אם ארץ מאפל יה מהו מאפל יה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
33	31	1505	15	1	1	1	1	1024	1436	5	5	289	348	121	802	שמא אמרתי לכם שאני מביא לכם טובה והלקשתי אותה ואין מאפל יה	שמא אמרתי לכם שאני מביא לכם טובה והלקשתי אותה ואין מאפל יה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
34	32	1506	15	1	1	1	1	1024	1436	6	6	327	386	118	808	אלא לשון הלקשה כמה דתימרכי אפילות הנה ˙ אמ'ר' יהושע לא נפל	אלא לשון הלקשה כמה דתימר כי אפילות הנה ˙ אמ'ר' יהושע לא נפל	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
35	33	1507	15	1	1	1	1	1024	1436	7	7	366	425	114	800	מכל הדבר הטוב אשר דבר ײ אל בית ישרﭏ וגו' ˙ מדוע אמרו עמי רדנו ˙ מהו	מכל הדבר הטוב אשר דבר ײ אל בית ישרﭏ וגו' ˙ מדוע אמרו עמי רדנו ˙ מהו	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
36	34	1508	15	1	1	1	1	1024	1436	8	8	397	468	111	792	רדנו כההיא הרודה דתנינן הרודה פת חמה וכו' ˙ אמרו ישרﭏ כשהפת נבשל	רדנו כההיא [הרודה] דתנינן הרודה פת חמה וכו' ˙ אמרו ישרﭏ כשהפת נבשלת	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
37	35	1509	15	1	1	1	1	1024	1436	9	9	439	498	124	808	בתנור וניטלת ממנו עוד מדוע אמרו עמי רדנו ˙˙ דבר אחר מדוע אמרו	בתנור וניטלת ממנו עוד מדוע אמרו עמי רדנו ˙˙ דבר אחר מדוע אמרו	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
38	36	1510	15	1	1	1	1	1024	1436	10	10	477	535	116	804	עמי רדנו מהו רדנו כי הוא רודה בכל עבר הנהר ˙ אמרו לו נתת לנו בית המקדש	עמי רדנו מהו רדנו כי הוא רודה בכל עבר הנהר ˙ אמרו לו נתת לנו בית המקדש	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
39	37	1511	15	1	1	1	1	1024	1436	11	11	510	580	132	807	וסלקת שכינתך ממנו מה את מבקש ממנו עוד לא נבוא אליך עוד אמ' להם	וסלקת שכינתך ממנו מה את מבקש ממנו עוד לא נבוא אליך עוד ˙ אמ' להם	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
40	38	1512	15	1	1	1	1	1024	1436	12	12	545	616	121	806	ומי יתן לי והייתי במדבר עכשו איכן שעשיתי לכם אמ' כל אותר הטובה וכן	ומי יתן לי והייתי במדבר עכשו איכן שעשיתי לכם [אמ'] כל אותה הטובה וכן	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
41	39	1513	15	1	1	1	1	1024	1436	13	13	584	655	116	806	הוא אומר מי יתנני במדבר מלון אורחים איכן שהייתי מתקלס שנ' ישאו מדבר	הוא אומר מי יתנני במדבר מלון אורחים איכן שהייתי מתקלס שנ' ישאו מדבר	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
42	40	1514	15	1	1	1	1	1024	1436	14	14	621	692	113	806	ועריו משל לנשיא שנכנס למדינה וראו אותו בני המדינה וברחו ונכנס לשניה	ועריו משל לנשיא שנכנס למדינה וראו אותו בני המדינה וברחו ונכנס לשניה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
43	41	1515	15	1	1	1	1	1024	1436	15	15	659	730	117	806	וברחו מלפניו ונכנס לעיר אחת חריבה וקדמו אותו והיו מקלסין אותו אמ'	וברחו מלפניו ונכנס לעיר אחת חריבה וקדמו אותו והיו מקלסין אותו אמ'	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
44	42	1516	15	1	1	1	1	1024	1436	16	16	697	766	121	807	הנשיא זו העיר טובה היא מכל המדינות כאן אני בונה אכסניא שלי כאן אני דר	הנשיא זו העיר טובה היא מכל המדינות כאן אני בונה אכסניא שלי כאן אני דר	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
45	43	1517	15	1	1	1	1	1024	1436	17	17	733	804	112	805	כך כשבא הק’ב'ה' לים ברח מלפניו שנ' הים ראה וינס היררן יסוב לאחור ˙ במדבר	כך כשבא הק'ב'ה' לים ברח מלפניו שנ' הים ראה וינס הירדן יסוב לאחור ˙ במדבר	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
46	44	1518	15	1	1	1	1	1024	1436	18	18	772	842	129	797	חריבה וקלסה להק'ב'ה' שנ' ישאו מדבר ועריו אמ' זו היא טובה לי כאן אני בונה	חריבה וקלסה להק'ב'ה' שנ' ישאו מדבר ועריו אמ' זו היא טובה לי כאן אני בונה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
47	45	1519	15	1	1	1	1	1024	1436	19	19	810	881	114	805	אכסניא ודר בתוכה הדא היא דכתיב וידבר ײ אל משה במדבר סיני וגו' שהיה	אכסניא ודר בתוכה הדא היא דכתיב וידבר ײ אל משה במדבר סיני וגו' שהיה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
48	46	1520	15	1	1	1	1	1024	1436	20	20	849	920	119	798	שם אהל מועד והק'ב'ה' דר בתוכו התחילו שמחים שהק'ב'ה' דר בתוכה שנא'	שם אהל מועד והק'ב'ה' דר בתוכו התחילו שמחים שהק'ב'ה' דר בתוכה שנא'	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
49	47	1521	15	1	1	1	1	1024	1436	21	21	887	958	121	795	ישושום מדבר וציה ותגל עדבה ותפרח בחבצלת וגו' ˙˙ וידבר ײ אל	ישושום מדבר וציה ותגל ערבה ותפרח בחבצלת וגו' ˙˙ וידבר ײ אל	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
50	48	1522	15	1	1	1	1	1024	1436	22	22	924	998	109	804	משה ˙ אשריו משה ששים רבוא עומדים והכהנים והלוים והזקנים כולם עומד'	משה ˙ אשריו משה ששים רבוא עומדים והכהנים והלוים והזקנים כולם עומדי'	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
51	49	1523	15	1	1	1	1	1024	1436	23	23	964	1034	124	794	שם ומכולם לא דבר עם' ﭏא עם משה שנ' וידבר ײ אל משה ˙ במדבר	שם ומכולם לא דבר [עם] ﭏא עם משה שנ' וידבר ײ אל משה ˙ במדבר	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
52	50	1524	15	1	1	1	1	1024	1436	24	24	1001	1072	121	741	סיני ˙ למה במדבר סיני ˙ מכאן אמרו בשלשה דברים נתנה התורה באש	סיני ˙ למה במדבר סיני ˙ מכאן אמרו בשלשה דברים נתנה התורה באש	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
53	51	1525	15	1	1	1	1	1024	1436	25	25	1039	1109	128	803	ובמים ובמדבר ˙ באש מנין שנ' והר סיני עשן כלו מפני אשר ירד עליו ײ באש ˙	ובמים ובמדבר ˙ באש מנין שנ' והר סיני עשן כלו מפני אשר ירד עליו ײ באש ˙	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
54	52	1526	15	1	1	1	1	1024	1436	26	26	1076	1147	117	810	[במנים ובמים מני שנ' ײ בצאתך משעיר בצעדך משדה אדום ארץ רעשה ג	[ובמנים] ובמים מנין שנ' ײ בצאתך משעיר בצעדך משדה אדום ארץ רעשה גם	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png	1	1	1	1	1024	1436	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_15.png
55	53	1601	16	1	1	1	1	1024	1433	1	1	114	201	119	899	שמים נטפו גם עבים נטפו מים ˙ במדבר מנין שנ' וידבר ײ אל משה במדבר	שמים נטפו גם עבים נטפו מים ˙ במדבר מנין שנ' וידבר ײ אל משה במדבר	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
56	54	1602	16	1	1	1	1	1024	1433	2	2	157	238	240	894	סיני ˙ ולמה ניתנה בשלשה דברים הללו אלא מה אלו חנם לכל באי עולם כך דברי	סיני ˙ ולמה ניתנה בשלשה דברים הללו אלא מה אלו חנם לכל באי עולם כך דברי	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
57	55	1603	16	1	1	1	1	1024	1433	3	3	194	275	234	897	תורה חנם הם לכל באי עולם שנא' הוי כל צמא לכו למים וגו' ˙ דבר אחר למה	תורה חנם הם לכל באי עולם שנא' הוי כל צמא לכו למים וגו' ˙ דבר אחר למה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
58	56	1604	16	1	1	1	1	1024	1433	4	4	229	312	179	899	ניתנה במדבר לומר כל מי שאינו עושה כמדבר אינו יכול לקנות דברי תורה ˙	ניתנה במדבר לומר כל מי שאינו עושה כמדבר אינו יכול לקנות דברי תורה ˙	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
59	57	1605	16	1	1	1	1	1024	1433	5	5	267	348	240	846	סיני ˙ ששה שמות נקראו לו הר ﭏהים ˙ הרבשן ˙ הר גבנונים ˙ הר חמד ה	סיני ˙ ששה שמות נקראו לו ˙ הר ﭏהים ˙ הר בשן ˙ הר גבנונים ˙ הר חמד ˙ הר	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
60	58	1606	16	1	1	1	1	1024	1433	6	6	304	386	230	895	חודב ˙ הר סיני ˙ הדﭏהים ˙ למה שישב בו הק'ב'ה' בדין שנ' ואלה המשפטים אש'	חורב ˙ הר סיני ˙ הר ﭏהים ˙ למה שישב בו הק'ב'ה' בדין שנ' ואלה המשפטים אש'	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
61	59	1607	16	1	1	1	1	1024	1433	7	7	341	423	229	895	תשים לפניהם ˙ הרבשן ˙ הר שבא הק'ב'ה' הר שבו שינן את התורה לישרﭏ ˙ הר	תשים לפניהם ˙ הר בשן ˙ הר שבא הק'ב'ה' הר שבו שינן את התורה לישרﭏ ˙ הר	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
62	60	1608	16	1	1	1	1	1024	1433	8	8	377	460	235	898	גבנונים ˙ שבשבילו פסל כל ההרים כמה דתימר או גבן או דק ˙ הר חמד ˙ שבו	גבנונים ˙ שבשבילו פסל כל ההרים כמה דתימר או גבן או דק ˙ הר חמד ˙ שבו	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
63	61	1609	16	1	1	1	1	1024	1433	9	9	415	496	222	888	חמד הק'ב'ה' לישב שנ' ההר חמד ﭏהים לשבתו ˙ הדרחורב הר שעליו נשמטה	חמד הק'ב'ה' לישב שנ' ההר חמד ﭏהים לשבתו ˙ הר חורב ˙ הר שעליו נשמטה	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
64	62	1610	16	1	1	1	1	1024	1433	10	10	451	532	267	886	החרב ˙ שנ' מות יומת הנואף והנואפת ˙ מות יומת הרוצח ˙ הק סיני ˙	החרב ˙ שנ' מות יומת הנואף והנואפת ˙ מות יומת הרוצח ˙ הר סיני ˙	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png	1	1	1	1	1024	1433	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_16.png
