page	line	left	top	right	bottom	AT	iiif_url
7	15	231	1067	1400	1138	בבגדים נאים ובכסו ת נקיה שלא יהא מלבושך של שבת כמלבו שך	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	16	231	1117	1400	1188	של חול˙ בי הא דר' יחנן דהוה קרי למאטוה דהוה לביש דשבתא מכבר	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	17	231	1174	1400	1245	אמ' רב הונא מי שיש לו להחליף וחליף ומי שאין לו להחולוי ושלשל	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	18	231	1231	1400	1302	בבדיו˙ דיבכיך נא' יהא הלוכך של שבת נהלוכו של חול כי הא דאויה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	19	231	1293	1400	1364	דר' שמעון בן יודי כיהא משתעא מותר מילה בשבתא אמר לה אימא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	20	231	1352	1400	1423	שסתא היא והיא שתבקאי ואמר ר חנינא מדוחק התירו שאילת שלום	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	21	231	1412	1400	1483	שק ברם צריך אתה למילף מאן דבני למיזל דרבר מצוה אולתלה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	22	231	1458	1400	1529	ל  לבי מדדשא שו ליה למי פסע יעה גםה בשבת מצוה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	23	231	1515	1400	1586	ו או דילמא כבוד שבת עריף˙ תא שמנ דאר' תנחום אמ' ר יהושנ בול	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	24	231	1571	1400	1642	לב ירון אדם לדבר מיצוה ואפילו בשבת ואמ' ' זירא ממר הינא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	25	231	1624	1400	1695	וחתן ב יקא מרהני לפרקא בשבתא יומנאו דקא מחל שכתא ביו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	26	231	1675	1400	1746	ושממעשא להק כאמר' ר' תצנרום אנא נמי רדיש ומסקין במעתין	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	27	231	1725	1400	1796	ואגא דפיקא ריהיאיאי אן מיי א חפתך חתעיך אסרן	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	28	231	1774	1400	1845	וופני שמיי' מותרין אולאו תיונמו ריומי י' אלו בכקן נרהי	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	29	231	1829	1400	1900	ולעיים בשבת על ר' יחנן מפקחן ניחנפש בשב' ול˙ ע	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
8	1	315	264	1454	335	ור אירי אר' יוחנן הולנין לפקח על עסקי רבים בשבת˙ וא' שמואל	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	2	315	325	1454	396	נחמני אמ' ר' יוחנן הילכין לפקו על עזקי רבים והולכין לארטתיאות	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	3	315	382	1454	453	ולקרקסאות לפקח על עקןי רבים בשובת˙ וני דבי מנשה משרבין על	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	4	315	435	1454	506	התינוקת לאדם ועל התינוק ללמדו ספר וללמרו אומנות˙ ודבר דבר רבור	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	5	315	490	1454	561	ואסור והרהור מותר וכי אמריכן לאענויי עניי הרשות אבל חזא חילמא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	6	315	545	1454	616	ובעא למיתב בתעניתא משום ביטל זלמא שפבר דממי דאמ' רבאבר	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	7	315	612	1454	683	מתיא אמ' רב חמא נבר גוריא אמ' רב יפם תעיית  לחלום כאש	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	8	315	666	1454	737	בנעורת ואמ' ר'ה' יוסף ובו ביום˙ אמ' רב חסדא ואלו בשבת אינוי ביבר	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	9	315	726	1454	797	צריך למילןף האי מאן דיתיב לתעניתא במעלי שבתא מהו לאשלומ יו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	10	315	786	1454	857	כשעבידי דקא עיל בשבתא כשהוא מענה אסיר או דילמא כיון משומי	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	11	315	839	1454	910	שבתא הוא דקא עביד ובשת גופא לא קא עביד מעני שפיר דמי˙ ת ואל	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	12	315	894	1454	965	וה שיע דאמ' רבא כי הוינןכי רב נחמן איבעיא נן הננ בי רב דיתבי בתעימ	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	13	315	947	1454	1018	במעלי שבא מהו ראשלמי אסיר ליכנם כשהא מענה או לא לא הה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	14	315	1000	1454	1071	לידן כי אתאון לכי רב יהורה בענו מיניה לא הוה בדיה אמ' רבא ליחיי	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	15	315	1054	1454	1125	אנ תשעה ביב שחל ליהיות בבבת מביאין ל ביצה מגילמת בלו מלח	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	16	315	1108	1454	1179	כל שינם לשבת כשהוא אוכל דברי ר' יהורה שאמר כש	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	17	315	1167	1454	1238	וי' עקיבא אמ' רב יהוה מעשה היה שהינו יושבין לפנרר' עקבא בתשנם	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	18	315	1221	1454	1292	בא שחל להיות ערב שבת הביאו לו ביצה מגולגלת וגמעה בל א מלח לא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	19	315	1283	1454	1354	מפני שאכלה אלא להראות כה הלכה לתלמירים ר' יוסי אומ' מתענה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	20	315	1334	1454	1405	פילם˙ ותשובת שאלה זו ממתיבתא זו שאלו הא דתנן מגלה' נקרא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	21	315	1395	1454	1466	שאמר עשר בשנים עשר בשלשה עשר בארבעה עשר בחמשה עשר לאז	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	22	315	1449	1454	1520	פות ולא יו תי˙ אמ' רב י הורה אימתי בזן שהשים כתקנין שרוין וו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	23	315	1503	1454	1574	ובארמו אבל כימן הדה אין קורן אותה אלא בומנה הלכנה כתנא קמא כ	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	24	315	1563	1454	1634	יהודה השיבו בין ר' יהורה ובין תנאו קמא מגלה אינה נקראת לאבימ	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	25	315	1614	1454	1685	הםהאמד ומא כירהיו המוהפין חמה מממות יהושנא יגקויןו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	26	315	1665	1454	1736	כימה עשש ו ועיולת רוות קוין כאום שי ממ' להא מו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	27	315	1713	1454	1784	מלה נקראת בה שר ' ושם נתעלוב שר בש סו משנ	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	28	315	1768	1454	1839	לא שהבפרים מקימין לום הכיה ומאי בעוה יוה קהולה דא'ר אלער	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
8	29	315	1819	1454	1890	שלשה עשר זמן קהלה לכל דדי נקהלו וגשרו תעית בשלשה עשר בחד˙	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0008_fa_0001v.%5B02.fn.0000%5D.jp2/info.json
9	1	251	248	1428	319	אכל יום ארבע˙ עמר אום טוב הוא דכתי' ונח בארבעב' עשר	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	2	251	309	1428	380	בו ועשה אותו˙ וגשושן הבירה לא נחו אלא חמשה נשר לפי כך שויין	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	3	251	362	1428	433	מוקפי חומה במי יכו קוכין בטו בו ועושין וטוב וזה ששנינן ל	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	4	251	413	1428	484	מגלה נקראת ליושב בתענית בשבת שאם חל יר' להיות אחד בשבת	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	5	251	473	1428	544	אסור להתענות בשבת ובערב שבת נמי אסיר מתני ורח שב	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	6	251	524	1428	595	אלא מקדימין ומתענין בחמשי שהוא אחר עשר באדרזאם חלי'ד'	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	7	251	583	1428	654	להיות בויבת אסוד לה תענות ערב שבת מפני נוהאח שבת שעיקר	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	8	251	641	1428	712	תע ית וול' יות ורחמים הוא ואתי לאימנועי מפני טורח שכר	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	9	251	700	1428	771	ווביר' שדבת עביןף מאלךף תענית דכבוד שבת דאוריש ותגניתא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	10	251	761	1428	832	ד ואתיא כבוד שבת ושבת מדחי תנ ת רבאן˙ אלא מקזמין	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	11	251	814	1428	885	אל לתו י ב'ה' בשבת שהוא שנים עשר˙ ואם ל י' עבב שבתל	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	12	251	871	1428	942	 תמיין באחמשי שהוא יג' וכן פירש במשנה ביצר חל לה ות בשבבו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	13	251	921	1428	992	ץ  כפיים ועירות נדולות קורין בו ביום ומ וקכנת חזומה למחד ל להיומנ	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	14	251	980	1428	1051	ביב או באחד בבת פרים אקדימין ליום הכניסה בחמשי	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	15	251	1035	1428	1106	שהויו הנם ונם וקדימין ולא מאחרין˙ אכל תשעב באת שחל להיות	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	16	251	1085	1428	1156	בשבת דוחין אותו לאחר שת מפני שה וא פורענות מאחריןלאא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	17	251	1147	1428	1218	מקרימין ˙ מהני שמיעתא ילפינן הלא יתבינן בעמב שבת גר' עות	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	18	251	1194	1428	1265	היזור ו לא ינבור ולא יחיד בללשר היה˙ לר א' תושר וו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	19	251	1250	1428	1321	נ שנו כען הכבין˙ חו בבן יבול כבבין היה א'ל וההר בנעה נו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	20	251	1305	1428	1376	אהן מהי למ כבשן ל נשבר החון מה שיכולה נמע בוח בו אריה וו י	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	21	251	1365	1428	1436	ם  ירא י'  הים˙ ובי מינתן כח ובורה בחרי לנח הו לח הריזנו מכנין ומו מ	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	22	251	1425	1428	1496	שנר חת הזן ה שיבולוה למו כמכח נו הנהכבור שהי שר נ מקיב הורי	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	23	251	1482	1428	1553	חלו בקול מים רבים והחדך הירה ככברו וכי מי נתן כחונוריה במים לחו יל	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	24	251	1537	1428	1608	אר˙ חו ריבנין חתו כדיותו לשבר חת הון˙ ויהו ול השפהוהולך	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	25	251	1594	1428	1665	ואח אר דהדיונ כל זן סהו הולך קולו עום ובתן הולך וחוק ולמהרןך זלה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	26	251	1645	1428	1716	לים חתחק חומ' בנה נמירו ושו ל ה כני הסוכלן לב פר נקכל לי	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	27	251	1695	1428	1766	מלסומ ימיס כשאחה ' ויעמוכל הים חריו ויחמכו לאיר נ ר היו ממתכניון	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	28	251	1750	1428	1821	כת יהנינ זה בחתה שנה בקם הקהלברמ נימה ברית של הרכדי מ הולויב˙	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	29	251	1799	1428	1870	מר נ עד לוין כרתן כרית ולי ל יאם נהר	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
9	30	251	1847	1428	1918	ו ויה מת מהרשה עויו שנ וחתרונ   והמ' לניבך ירלו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0009_fa_0002r.jp2/info.json
10	1	289	229	1412	300	ארכרים הולה ˙' זורר להים ילמינרכיע כמהיכרים שבקן	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	2	289	293	1412	364	ישוים יבי כר יו דבתינו מו יבדים שזים חום אניוגיהן ננם הזה ק	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	3	289	338	1412	409	זוימית לשלם הבחא' רחהכמה חכינה הורה נ שבינה נבראעם ה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	4	289	390	1412	461	ו' וושים דברי בפיך ובתלנ וי כשין לנשע טמים וליסור ארק ועארר	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	5	289	458	1412	529	דם ממי חותה˙ חתה מוכח כשקז הב'ה' לותן חת התורה נישרל חחזירה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	6	289	509	1412	580	ו' ענ בל החומה ל קבלוה בזש להרחמיר הלם לרידת מימיו שס' נת	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	7	289	567	1412	638	וימותר חר ראה מתאים כון שזכלה ישרל תושב הנלם לפיכך וידנ	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	8	289	624	1412	695	ק'א הום˙ יח ר' י יר' זו' נקרחו בחים חחים שהן שגין חריי	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	9	289	685	1412	756	י ו' חישים בכל יום כו זה ר יש לו וה שנ זהב נברן ו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	10	289	743	1412	814	ה כ נבקך וטשו שלנ נזסת ך יחו שנ נבריל וכן ובף	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	11	289	803	1412	874	םמר ששד  י של ני שנ חיים מזרוב בו כי יי' הין יל	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	12	289	853	1412	924	לח הוא˙ של כלוסכום אחד אובתן ומליל מהו שב'ו נתרה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	13	289	907	1412	978	בי י'  קני וכי יהבח כעכומיה ידה להתקנות בה וכוד מתקניח בגזור	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	14	289	965	1412	1036	ביי ם   חכם בחבם עשר בנ איר ובו בר יר' בברק	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	15	289	1019	1412	1090	וחתי ר'ישל נמיסכת 'ו'˙  מ' ילמדנו רב יכי כמה נת	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
10	16	289	1078	1412	1149	 סכליות ענ גבי מבה נאבת ל בתחלה נל זכי טו כ	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0010_fa_0002v.jp2/info.json
